sentence,sentiment
সালের শে ফেব্রুয়ারী বইমেলা থেকে বাড়ি ফেরার পথে প্রথাবিরোধী লেখক ভাষা বিজ্ঞানী অধ্যাপক হুমায়ুন আজাদের উপর ধর্মান্ধ মৌলবাদীগোষ্ঠী আক্রমণ চালিয়েছিল,1
খুব ভালো উদ্যোগ,1
এটা নিয়ে এতো খুশি হওয়ার কি আছে দুনিয়ার উপর কোনো এছানতো করে নাই বলতে আরেকটা শয়তানের জন্ম হইছে,0
আমি আজ কেঁদে দিলাম কথা বলার ভাষা হারিয়ে ফেলেছি,1
ভাল খেলেছে বাংলাদেশ আরে খুব ভাল,1
এই টাকা গুলো রাজস্ববোর্ড এ দেওয়া হোক অন্তত সিগারেটের দাম টা কমবে,1
সঠিক একটি বিচার হক,0
মাতালের আবার যৌক্তিকতা বিচার আমাদের ভ্যাটের টাকা যদি তোর বাপে পরিশোধ করতো আর ততক্ষণে যদি তোর নেশার ঘোর কেটে থাকতো তবে যৌক্তিকতা পেতি,0
এটা কোন কথা,0
লোক দেখানো শিক্ষার চেয়ে পারিবারিক শিক্ষা হলো আসল পরিবারের শিক্ষক হলো মা সে মায়েরা সারাদিন বাসায় রুপ চর্চায় ব্যস্ত না হয় ভারতীয় টিভি চ্যানেলে ব্যস্ত পারিবারিক শিক্ষা সঠিক হলে লোক দেখানো শিক্ষার প্রয়োজন নাই,0
ইসলাম ধর্ম হলো শান্তির ধর্ম ইসলাম সন্ত্রাসী কে যায়গা দেয় না সন্ত্রাস কে দমন করে ইসলামের বিরুদ্ধে যারা তৎপর আছে তাদের বিরুদ্ধে জিহাদ করে এর নাম হলো ইসলাম আর এই ইসলামের পতাকা তলে যারা আশ্রয় নিয়েছেন তারাই হলো মুসলমান আল্লাহ পাক আমাদের সবাইকে আমল করার তাওফিক দান করুন আমিন,0
আল্লাহ মাসরাফি ভাই সহ পাশের নায়কদের মত আরো নায়ক তৈরি করুন,1
চোখের পানি ধরে রাখতে পারলাম না,1
তৈমুর শুধু হিন্দুদের জন্য আতংকের নাম আর মুসলিমদের জন্য আশীর্বাদক,0
মেঘের আড়ালে সুর্য হারিওনা তুমি ধৈর্য্য উত্থান পতন জীবনেরই অংশ ছেড়ো না পাল দুখের তরঙ্গে হও আগুয়ান সব বাধা ভেঙে জয় তোমার অনিবার্য হারিওনা তুমি ধৈর্য্য,1
কালা জাহাঙ্গীরের মৃত্যুর তিন মাস পরেই র‍্যাবের ক্রসফায়ারে নিহত হন মোল্লা শামীম পিচ্চি হান্নান কালা জাহাঙ্গীরের খুনকে আত্মহত্যা বলে চালানোর চেষ্টা করেন আর সঠিক তথ্য খুব কম জনেরই জানা থাকায় কালা জাহাঙ্গীর সম্পর্কে বিভিন্ন কথা ভেসে বেড়াতে শুরু করে এমনকি বাংলাদেশ পুলিশের মোস্ট ওয়ান্টেড লিস্টে এখনো জীবিত হিসেবে অন্তর্ভুক্ত আছে তার নাম কারো কারো মতে আন্ডারওয়ার্ল্ড ছেড়ে জাহাঙ্গীর পাড়ি জমিয়েছেন বিদেশে সেখানে এখনো বহাল তবিয়তেই আছেন তিনি সব মিলিয়ে কালা জাহাঙ্গীর বাংলাদেশের অন্ধকার জগতের এক রহস্যময় নাম হয়েই আছেন এখনো,0
মাশরাফি যে সত্যিই একজন বড় মনের মানুষ তাতে কোন সন্দেহ নেই স্যালুট নায়কদেরকে,1
ভয়াবহ,0
তোমার সমর্থন যে নাই বুঝতে পারো না সময় থাকতে মান সম্মান নিয়ে পালাও অন্যতায় দেশের মানুষ খেঁপে গেলে খবর আছে,0
ইদানিং বার্সা এর চোরামি এর বড় উদাহরন দেখার কারনে পেজের লাইক কমছে তাই কাস্টম সেটিংস এ বাংলায় একটা পোষ্ট দিয়ে দিল আর তাতে টোপ গেলা বাংলার বার্সা ফ্যানেরা লাইক কমান্ড করে ফাটায় ফেলতেসে কি সুন্দর আবেগ ইউজ করে লাইক বাড়ায় নিল পেজ ওরা মনে করসে এতে বাংলাদেশ এর নাম কত উপরে উইঠা গেছে হাউ কিউট আমরা বাঙালি দের হুজুগ অনেক বেশী আবারো প্রমান হইল অন্তত আমাদের ক্লাবের পেজ এই হুজুগ ইউজ করে না সেটাই ভাল,0
অসংখ্য অসংখ্য ধন্যবাদ প্রথম আলোকে এই রকম একটা ভিডিও আপ দেওয়ার জন্য অবশেষে বলি মেশ,1
বাংলাদেশ ক্রিকেটে সাকিবের হেটার না থাকাই শ্রেয়,0
জীবনযাপনের মানের দিক দিয়ে বিশ্বের সবচেয়ে নিকৃষ্ট শহরের তালিকায় ফের স্থান করে নিয়েছে ঢাকা,0
হুদাই সরকারের সম্পদ নষ্ট করছে শালারা,1
এ ভিডিওটা আজ থেকে আামার জীবনটাকে ও বদলে দিলোযতো দিন বেচে থাকবো মানুষের কাজে আর আল্লাহ কাজে নিওজিত থাকার চেস্টা করবোইনশোআল্লাহ,1
লাখ চাকুরী জীবিদের বেতন না বাড়িয়ে লাখ শিক্ষিত বেকার যুবকদের চাকুরীর সুযোগ করে দিলে ভাল হতো না অবসরের বয়স সীমা বছর না বাড়িয়ে বেকারদের কর্মসংস্থানের ব্যবস্থা করে দিলে কি পাপ হতো বিবেকের কাছে প্রশ্ন মাননীয় প্রধানমন্ত্রী আপনাকে বলছি দেশের সরকারী চাকুরীজিবী এর বেতন বৃদ্ধির আগে বাকি বেকার বেসরকারী চাকুরীজিবী বিশেষ কোন ট্রাইবুনালের আওতায় এনে গনহারে ফাসিতে ঝুলিয়ে দিন তাদের অপরাধ কেন তারা ফাস করা প্রশ্ন কালেক্ট করতে পারেনি বা করেনি কেন তারা শিক্ষাজীবনের মূল্যবান সময়টাতে রাজনিতী না করে পড়ালেখার পেছনে নষ্ট করেছে কেন তাদের কোন প্রভাবশালী নেতা এমপি মন্ত্রীর সাথে যোগাযোগ বা আত্বীয়তার সম্পর্ক নেই কেন তারা লক্ষ টাকা ঘুষ দেয়ার মতো সামর্থ্য রাখেনা কেন তাদের বাপ বা দাদারা মুক্তিযুদ্ধে অংশগ্রহণ করেনি কেন তারা উপজাতি নই সরকারী চাকুরীর কোটার মধ্যে স্থান না পাওয়া শিক্ষিত যোগ্য ও মেধাবী বেকারকে ধুকিয়ে ধুকিয়ে মারার চাইতে একেবারে ফাসি দিয়ে দেয়াটাই বেটার সব বেকারকে ফাসিতে ঝুলিয়ে দিলে বেকার ও দারিদ্রমুক্ত ডিজিটা ল বাংলাদেশ গড়ার স্বপ্ন আপনা আপনিই বাস্তবায়িত হয়ে যাবে কি আজব দেশের আজব আইন কানুন সত্যি এইসব নিয়ম নীতি দেখে নিজেকে নিজেই ধিক্কার দিই,0
ভাল লাগা চরম পর্যায়ে ভাই,1
সফল হতেই হবে,1
মুগ্ধকর সুনির্মিতি ভালোলাগা অফুরান অভিনন্দন,1
সালমান এফ রহমান এর মত এত বড় একজন ধনকুবের বাংলাদেশে আছেন অথচ হাকিমপুরী জর্দার কাউছ মিয়া বাংলাদেশের শীর্ষ করদাতা হয় কি অবাক ব্যাপার,0
আশা রাখি আপনাকে আবার জাতীয় দলে হয়ে দেখতে পাব,0
বাংলাদেশি চ্যানেল দেখাতো কবেই বন্ধ করে দিয়েছি তবুও একমাত্র চ্যানেল নাইনটা খেলা দেখার জন্য দেখতাম কিন্তু হায় ওরা খেলা দেখায় আসলেনাকি এড প্রচারের চ্যানেল আমি প্রায়ই ভুলে যেতাম মাঝে মাঝে তো মনে হয় ওরা এডের ফাকে ফাকে খেলা দেখায়,0
ওকে দুদক থেকে রেহাই দেওয়া হোক পদ্মা সেতুর খরচের বিনিময়ের,1
অসাধারণ ভিডিওটা দেখতে দেখতে চোখে পানি চলে আসল এদের কাছে আমরা কতো ক্ষুদ্র তুচ্ছদুর্বলস্বার্থপর সালাম এই সকল এবং এদের মতো নাম না জানা সকল নায়কদের,1
আল্লাহকে ভয় করো তাতেই সবচেয়ে বড় ইবাদতকারী হতে পারবেমিশকাত,0
তোমরা পার শুধু পাব্লিকের সাথে মোবাইল কম্পানির উপর ট্যাক্স বারায়ে কল রেট কমাও দেখি পার নাকি হাজার কোটি টাকা লাভ করে বিদেশ নিয়ে যাচ্ছে তা না দেখে পাব্লিকের কস্টের টাকা নিজেরা করের নামে ভোগ করা বাদ দাও কম্পানির টাকা খাও কিচ্চু কমু না,0
আমার বাল কমবে,0
তীব্র শীতে জনজীবন স্থবির,1
চোখে পানি এসে গেলএই সকল নায়কদের প্রতি শ্রদ্ধা ও ভালবাসা,1
মুছা কে অাইনি সহায়তা দিয়ে টাকাটা দেশে অানার ব্যবস্হা করা উচিৎ সরকারের,1
আমরা আজ গর্বিত যে আপনাদের ফ্যান পেইজে আমাদের বাংলাদেশের লাল সবুজের পতাকাবাংলা ভাষার লিখা দেখে ধন্যবাদ বার্সালোনা কতৃপক্ষকে এটা বাংলা ভাষার সম্মান বৃদ্ধির সাথে সাথে বাংলাদেশে বার্সারলোনার জনপ্রিয়তা ও বৃদ্ধি করেছে,1
তারা বাংলাদ‌ে‌শে‌র সম্পদ,1
অবদান শুধু সাকিবতামিমমাহমুদতাসকিনম্যাশ রুবেল কারো একার নয় ভাইএটা দলীয়সম্মিলিত প্রচেস্টার ফল ভাইআর এক্ষেত্রে ম্যাশ ভাইয়ের ক্যাপ্টেন্সি টা অসাধারণ,1
যার সঙ্গে আপনার নূন্যতম সম্পর্ক নাই তাকে কোনো প্রকার যৌন প্রস্তাব দেওয়া অপরাধ,0
সরকারের উচিত বেতন না বাড়িয়ে অভাবি মানুষদের সাহায্য করা,0
ভালো আইডিয়া দিয়েছেনআসলে আমাদের রাজনীতিতে ভুত পেত্নীর রাজত্ব তাদের আবার ভালোবাসার উপাখ্যান আছে কাজের কথা বলেছেন,1
ভাই হয়ত হাজরো কমেন্ট এর মাঝে আমার কমেন্টা চোখে পড়বে না কোটি ভালোবাসা আর ভক্তের মাঝে হয়তো আমায় দেখা যাবে না তবুও মন থেকে বলছি আমি আপনাকে অনেক ভালোবাসি ভাই আমি আপনাকে অনেক মিস করি হয়ত কোনদিন কাছ থেকে আপনাকে ছুয়ে দেখার ভাগ্য আমার হবে না তবুও আমি দূর থেকে আপনাকে ভালোবেসে যাব,1
ভ্যাট শিক্ষার্থী দিক আর বিশ্ববিদ্যালয় দিক তা আজ হোক আর কাল হোক শিক্ষার্থীর পকেট থেকেই যাবে,0
কাটার বয় জিন্দাবাদ,1
বাংলায় স্ট্যাটাস দেখে গর্বিত বোধ করছি সাথে বাসার্লোনার একজন ফ্যান হয়ে আনন্দ ভোগ করছি ধন্যবাদ বাসের্লোনা কতৃপক্ষ,1
এটা কোন থিম দিয়ে করা বা এরকম একটি থিমের সাজেশন চাই,1
সেরা ছিলো লিখাটা,1
হরতালসমর্থকদের ওপর পুলিশের কাঁদানে গ্যাস,0
মানুষ কত অমানুষ হলে এইসব জঘন্য কাজ করতে পারে,0
সোয়েবআকতার ভাল কথা বলেছো,1
অনেক কম,1
আমার মতে সেরা তামিমসৌম্যসাব্বিরসাকিবমুসফিকরিয়াদমিরাজমাশরাফিতাসকিনরুবেল,1
প্রথম আলোকে অভিনন্দন মাশরাফি তুমি সত্যিকারে বস আমাদের আসল নায়ক সেলুট বস,1
নারীর অধিকারকে নারীকেই অর্জন করতে হবে অপমানের গ্লানী গায়ে মেখে বসে থাকতে চলবে না এটাই হোক নারীদের আজকের দিনের শপথ,1
ধন্যবাদ এবং ধন্যবাদ,1
স্টার জলসা স্টার প্লাস ও জি বাংলা এই তিনটি চ্যানেলের সম্প্রচার কেন নিষিদ্ধ করা হবে না সে প্রশ্নে একটি রুল জারি করেছিল হাইকোর্ট,0
অনেক দুংখ পেলাম,1
মুসাফির আমরা সবাই মুসাফির কবরে শুধুই আমলের উপর ব্যাবহার পাবে যার আমল ভালো হবে সে কবরে সুখিআর পাপী হলে কষ্টের অন্ত নাইহরেক রকমের আজাব হবে,1
সরকার বেসরকারি বিশ্ববিদ্যালয় থেকে ভ্যাট নিবে বিশ্ববিদ্যালয় ছাত্রছাত্রীদের থেকে নিবেএটা সেরাম ক্লিয়ার না বোঝার কি আছে সো আন্দোনল চলবে,0
প্রথম আলো আমার সেই ছোটকাল থেকেই পত্রিকা অনেক ভাল লেখে তারপরে এই ভিডিওটা তার চেয়েও আরো বেশি ভাল লাগলো জাতীয় সংগীতটা শুনে চোখের পানি আর আটকে রাখতে পারলাম না ধন্যবাদ ম্যাশকে এবং সাকিবময় স্যালুট,1
ভারত একটি চক্রান্তকারী ষড়যন্ত্রকারী দেশ,0
আমরা ভারতের সব পণ্য টিবি চ্যানেল বাংলাদেশ থেকে বর্জন করতে চাই,0
দলের নেতাদের মোবাইল ব্যেবহার করবেন সিম কেনার দরকার নেই,0
পক্ষ থেকে আমাদের নায়কদের শ্রদ্ধা ভালোবাসা কৃতজ্ঞতা ও অভিনন্দন দেখে চোখে পানি চলে এলো এদের কাছে আমরা কতো ক্ষুদ্র তুচ্ছদুর্বলস্বার্থপর সালাম এই সকল এবং এদের মতো নাম না জানা সকল নায়কদেরধন্যবাদ প্রথম আলোকে এদের সাথে পরিচয় করিয়ে দেবার জন্য ধন্যবাদ প্রথম আলোকেসত্যিকারের কিছু প্রতিভা কে উপস্তাপনের জন্যআর মাশরাফি তাকে ধন্যবাদ দিয়ে ছোট করব না সে ষোল কোটি মানুষের প্রান,1
ঘুষ ছাড়া কোন কাজই করেনা,0
ভন্ডামি বাদদে তারানা,0
শুধু মেয়েরা কেন ছেলেরা কোথায়,0
অামার কাছে সাকিব অাল হাসান অসাধারণ খেলোয়াড় অামি অবাক বিস্ময়ে তার খেলা দেখি উপভোগ করি,1
ভালো লিখছেন ভাই,1
ভালো প্রোশিক্ষন,1
মাছও ভারতকে নিরাপদ ভাবছে,0
জয় হোক ভালবাসার জয় হোক মানবতার,1
মুস্তাফিজকে দিয়ে শুরুঅন্যান্যরা আগামীতে,1
এবার নির্দোষ মানুষের জীবন ও অনেক নষ্ট হবে,1
ভাই ওখান থেকে কিছু টাকা দেন মদ খামু ওয়াইন দিবেন সাব,1
এবার কাঠগড়ায় ভারতীয় আম্পায়ার,0
খুব ভাল লেগেছে কিন্তু সানি র জন্য খুব খারাপ লাগছে,0
কোন জানি শুনতে হয় যারা মসজিদে নামাজ পড়ে ঐ মুসুল্লিদের ভ্যাট দিতে হবে,0
সুযগ তো সবসময়ই থাকে ঝামেলা হল ঐ টিমের কোচ তো বারসার খেলার সাথে অনেকদিন থেকে পরিচিত তার সাথে গোল দেওয়া সহজ হবেনা,0
লাশ পেল,1
অবশেষে রাজশাহীবাসী বৃষ্টির স্বাদ গ্রহণ করলোভালো লাগল হঠাৎ করে আসা বৃষ্টিটা,1
অবশ্যই হ্যা এখানে টিভি চ্যানেল চালায় যেন মুনাফার যন্যই দেশের মানুষের বিনোদনখবরের মাধ্যমে তথ্য জানার অধিকারের জন্যে নয়,0
আমার মনে হয় যারা ছাএলীগ করে তারা ছাএ না বা কোনদিন ছিলোও না ছাএ হলে ছাএদের উপর কি ভাবে আঘাত হানেনাকি সরকার বলেছেন যারা ছাএলীগ করবে তাদের কে দিতে হবে নাআর দেশে যে আন্দোলন ই হোক না কেন সেখানে পুলিশের আগে ছাএলীগ কেনএক কাজ করেন পুলিশ পরশাসন ছুটি দিয়ে ছাতারলীগ দিয়ে দেশ চালান,0
ভলো মানুষ আছেআমরা সবাই মিলে একটা করে ভলো কাজ করলে আর কেহ অবহেলিত থাকবেনা,1
শিক্ষা মানুষের মৌলিক চাহিদা যেহেতু সরকার সেই চাহিদার যোগান দিতে পারছে নাতাই ভ্যাট নেওয়া নয় বরং সরকারের উচিত ছিলো নিজের ব্যর্থতা ঢাকতে প্রাইভেট ভার্সিটিগুলোতে ভর্তুকি দেওয়া যেনো টিউশন ফি আরো কমে যায়,0
সব পাগল গুলারে মন্ত্রী বানাইসে দেশ টা ওর বাপেরযা খুসি করতাসে ওই মাল মনে করে ওর মত সবাই চুরি করে টাকা কামাই করে,0
এটা বাংলাদেশের ক্রিকেটের জন্য ইতিবাচকশুভেচ্ছা ও অভিনন্দন এই তরুণকেধারাবাহিকতা ও আত্মবিশ্বাস ধরে রাখ এই শুভকামনা রইল,1
বিশ্ব যখন তটস্থ তখন আমরা জঙ্গিবাদ নিয়ন্ত্রণ করেছি,1
বন্ধুরা বলতো পাকিস্তানী মিলিটারি এবং বাংলাদেশী পুলিশের মিল কোথায় সালের ভাষা আন্দোলনে মিলিটারিরা ছাত্রদের উপর গুলিচালিয়ে ছিল আর সালে ভ্যাট আন্দোলনে পুলিশ গুলিচালাচ্ছে তাহলে একটা কথা না বললেই না আমরা কি স্বাধীন হতে পেরেছি এর আগে শোষন করেছে পাকিস্তান এখন করছে আওয়ামীলীগের গডমাদার হাসিনা সবাই দেখুন আইয়ুব খান ও হাসিনার কতোটা স্পষ্ট মিল আপনারা কি আমার সাথে একমত,0
রাজউকের দুর্নীতিবাজরা চাইছে না প্রতিষ্ঠানটির অনলাইন সেবা দ্রুত কার্যকর হোক কেননা এই সেবা পুরোপুরি চালু হলে দুর্নীতিবাজদের দৌরাত্ম্য কমে যাবে এ কারণে নানাভাবে তারা দায়িত্বশীলদের প্রভাবিত করার চেষ্টা করছেন,0
কিছু কিছু মানুষ অাছে যারা নিজে কিছু করেনা অার পরের ভাল দেখতে পারে না এরকম মানুষ পৃথিবী থেকে যত তাড়াতাড়ি বিদায় নেয় ততই সমাজের তথা দেশের মঙ্গল,0
সত্যি মাশরাফি ভাই অসাধারণ একজন মানুষযতোই বলি কম বলা হবেএরাই আমাদের আসল নায়ক সেলুট তোমাদের,1
আমাদের ই ভাল এত ধাম দিয়ে কিনে যদি জীবনের জুকি নিয়ে ইউজ করতে হয় দরকার কি যদি কম টাকার মধ্যে এর সুযোগ ভোগ করতে পারি নিরাপদে,0
ও ভাইয়া তুমি এতো ভালো কেনো,1
ধন্যবাদ প্রাণের ক্লাব এইটা সপ্নেও ভাবতে পারি নি,1
বেহায়া বাঙ্গালী ওর খেলা দেখবার জন্যই আবার টিভির সামনে বসে থাকবে,0
কে মোবাইল চালায় আর চালায় না কে নিবদন করেচে কে করে নাই তা নিয়ে তারানার এত মাথাব্যথা কেন খালেদা কে নিয়ে আরো কু মতলব আাছেকিনা এই সরকারের,1
দূর্ভাগ্য এইসব আলোকিত মানুষ গুলোর নাম জনসম্মুখে খুব কমই আসে কাল্পনিক উদারহরণ না দিয়ে এসব জীবন্ত গুণী মানুষদের উদাহরণ প্রজন্মকে উদ্বুদ্ধ করবে,0
তবে সাকিবের জন্যেই জিতছিওই তম ওভারে রান দিয়েই জয়ের স্বপ্ন জিইয়ে রাখছে সে,0
এতো বড় মহৎ কাজের জন্য আবার অনুষ্ঠানের দরকার হয় এই ছাত্র ছাত্রী রা বাড়ীতে কি করে,0
সাংবাদিক ভাইদেরকে ধন্যবাদ,1
আমি মা হিসেবে গ্রহণ করতে পারলাম নাকারন ভালো বাসা মনের ভিতর থেকে আসে লোক দেখানো নয়আর র্বতমান ছেলে মেয়ের ভালো বাসাতো অনেক দূর,1
